threads,size,pin,runtime,energy
15.992884,500,false,0.047113433,2.088679
15.992884,500,false,0.047227524,2.12469
15.992884,500,false,0.04714264,2.097834
15.992884,500,false,0.047105625,2.12829
15.992884,500,false,0.04705272,2.10882
15.992884,500,false,0.047111593,2.083552
15.992884,500,false,0.047118835,2.09405
15.992884,500,false,0.047622494,2.088801
15.992884,500,false,0.047125895,2.136103
15.992884,500,false,0.047430977,2.137934
16,500,false,0.047231,2.086725
16,500,false,0.047035094,2.116633
16,500,false,0.04707291,2.11883
16,500,false,0.047040496,2.090327
16,500,false,0.047110192,2.092219
16,500,false,0.047056343,2.09698
16,500,false,0.04749136,2.165155
16,500,false,0.0470902,2.129145
16,500,false,0.047106244,2.095515
16,500,false,0.047028467,2.106928
15.82818,500,false,0.048260935,2.154596
15.82818,500,false,0.04713814,2.093135
15.82818,500,false,0.047620866,2.130487
15.82818,500,false,0.047262732,2.138118
15.82818,500,false,0.04705313,2.092646
15.82818,500,false,0.048436504,2.15362
15.82818,500,false,0.047669966,2.109369
15.82818,500,false,0.04716877,2.089106
15.82818,500,false,0.04713816,2.125849
15.82818,500,false,0.04704179,2.100947
15.996331,500,false,0.047232136,2.134089
15.996331,500,false,0.046996374,2.103144
15.996331,500,false,0.04707403,2.092768
15.996331,500,false,0.04709823,2.135614
15.996331,500,false,0.047094498,2.102595
15.996331,500,false,0.047156233,2.130183
15.996331,500,false,0.047188602,2.104548
15.996331,500,false,0.04720075,2.123285
15.996331,500,false,0.046945408,2.111628
15.996331,500,false,0.04706947,2.076777
16,500,false,0.047089618,2.107722
16,500,false,0.047510255,2.114985
16,500,false,0.047059733,2.096858
16,500,false,0.047012273,2.090265
16,500,false,0.047101777,2.13238
16,500,false,0.04751956,2.120112
16,500,false,0.04708166,2.099971
16,500,false,0.047142606,2.093439
16,500,false,0.047311977,2.134211
16,500,false,0.047103368,2.093622
15.837312,500,false,0.047625184,2.127314
15.837312,500,false,0.047666643,2.109858
15.837312,500,false,0.04698118,2.13006
15.837312,500,false,0.047655147,2.13824
15.837312,500,false,0.047187097,2.098261
15.837312,500,false,0.047211997,2.133234
15.837312,500,false,0.047107834,2.097102
15.837312,500,false,0.047186688,2.089167
15.837312,500,false,0.04704237,2.089899
15.837312,500,false,0.047277465,2.13415
15.676662,500,false,0.047198184,2.130549
15.676662,500,false,0.047606383,2.124628
15.676662,500,false,0.047045384,2.110895
15.676662,500,false,0.04718536,2.128535
15.676662,500,false,0.04726084,2.09112
15.676662,500,false,0.047221985,2.152949
15.676662,500,false,0.04703128,2.090693
15.676662,500,false,0.04751528,2.133356
15.676662,500,false,0.047422133,2.12591
15.676662,500,false,0.04716484,2.099848
15.835619,500,false,0.047018,2.089167
15.835619,500,false,0.047128744,2.087336
15.835619,500,false,0.047124,2.094721
15.835619,500,false,0.04705624,2.132991
15.835619,500,false,0.046993878,2.111139
15.835619,500,false,0.04725409,2.082026
15.835619,500,false,0.04769785,2.169428
15.835619,500,false,0.047976047,2.141352
15.835619,500,false,0.047963575,2.148066
15.835619,500,false,0.04712785,2.140742
15.678073,500,false,0.04804312,2.150324
15.678073,500,false,0.04763717,2.133722
15.678073,500,false,0.046975788,2.096858
15.678073,500,false,0.047221035,2.130731
15.678073,500,false,0.047091298,2.103328
15.678073,500,false,0.047209475,2.093378
15.678073,500,false,0.047131177,2.143793
15.678073,500,false,0.046973243,2.084529
15.678073,500,false,0.04759148,2.138422
15.678073,500,false,0.04712716,2.132136
15.521708,500,false,0.047025695,2.100397
15.521708,500,false,0.04766525,2.124689
15.521708,500,false,0.047587708,2.123408
