pin,size,threads,runtime,runtimesd,energy,energysd
true,1000,13,0.42288503,0.00413234,18.54148483,0.24177040
true,1000,14,0.42038295,0.00511623,18.54425430,0.35702902
true,1000,15,0.41407922,0.00184006,18.40450287,0.10556217
true,1000,16,0.41078022,0.00256913,18.38376045,0.16125336
true,1100,1,4.80586767,0.19999877,78.41933441,7.69618893
true,1100,2,2.39630437,0.01227165,47.58150482,0.77786011
true,1100,3,1.73373961,0.26797941,38.89066696,3.31056452
true,1100,4,1.19804442,0.00946011,32.46810150,1.14081264
true,1100,5,1.21699595,0.01388112,32.87993240,0.48709157
true,1100,6,1.20631230,0.00912992,33.22496033,0.20736519
true,1100,7,1.20873904,0.01169684,33.41693878,0.33025908
true,1100,8,1.22284007,0.02370532,33.97578430,0.93895483
true,1100,9,0.98646569,0.04671058,30.87647247,1.10717249
true,1100,10,0.82164460,0.05031695,28.85960007,0.69203836
true,1100,11,0.69002265,0.00764596,27.18859291,0.54150921
true,1100,12,0.61238539,0.01300562,26.68511963,1.02744651
true,1100,13,0.60050792,0.00351487,25.98700142,0.09564154
true,1100,14,0.60058343,0.00382502,26.33822823,0.18982090
true,1100,15,0.60258412,0.00430188,26.47402191,0.13142502
true,1100,16,0.60393786,0.00925427,26.75504875,0.58076650
true,1200,1,6.27268314,0.02892376,100.34817505,2.57041216
true,1200,2,3.20997524,0.02331632,63.52812958,1.50954938
true,1200,3,2.38076162,0.40183312,52.46500397,4.79606819
true,1200,4,1.62084436,0.01026306,43.69736862,1.31137431
true,1200,5,1.62741697,0.02301417,44.06597519,1.83226800
true,1200,6,1.60946870,0.01795030,43.67148590,0.31446633
true,1200,7,1.61620915,0.01641100,44.47465515,0.84565622
true,1200,8,1.74343753,0.03158768,47.32920837,1.75718915
true,1200,9,1.31297505,0.04699057,40.76720428,1.00915468
true,1200,10,1.11210191,0.07557975,38.25386429,1.01340246
true,1200,11,0.92673755,0.04289998,36.00360107,0.56377208
true,1200,12,0.81412607,0.00874116,34.86503601,0.54117286
true,1200,13,0.81013483,0.01221337,35.10692215,0.91816092
true,1200,14,0.81207991,0.00507899,35.41994476,0.20935446
true,1200,15,0.81173205,0.01592343,35.63979340,0.80850232
true,1200,16,0.87940824,0.00764120,37.97451019,0.34006548
true,1300,1,8.09755135,0.08184073,130.38163757,4.40204716
true,1300,2,4.28220749,0.02301358,83.16381073,1.50415754
true,1300,3,3.14634800,0.54389507,69.42862701,6.82718658
true,1300,4,2.14649606,0.01458248,57.35540009,0.68484962
true,1300,5,2.22340918,0.04383573,58.93307495,0.60136539
true,1300,6,2.20697021,0.02671697,59.43000031,1.28997576
true,1300,7,2.23798990,0.05122811,60.52524948,2.84752345
true,1300,8,2.45707726,0.01802169,65.09490967,0.76554310
true,1300,9,1.85558808,0.08919630,56.21107483,1.71871984
true,1300,10,1.50769913,0.09057236,51.35382462,1.35718203
true,1300,11,1.25338209,0.00906366,48.36251450,0.20510827
true,1300,12,1.10550654,0.01621283,46.35395432,0.60445929
true,1300,13,1.09765995,0.01785481,47.01308441,1.09829736
true,1300,14,1.10787189,0.00603157,47.71931458,0.23251903
true,1300,15,1.12453663,0.01664374,48.49420547,0.81666392
true,1300,16,1.21354258,0.01179360,51.75516510,0.30974525
true,1400,1,10.49534702,0.25101653,168.48411560,9.55013371
true,1400,2,5.69514418,0.01829064,109.60341644,1.33331859
true,1400,3,4.24640465,0.74429202,91.86446381,8.95822716
true,1400,4,2.67506313,0.03299680,71.94361115,2.35256386
true,1400,5,2.90695310,0.06926446,76.74333191,1.82687664
true,1400,6,2.97470093,0.05303836,78.85066223,1.11504352
true,1400,7,3.09134793,0.04568528,81.76054382,1.55565238
true,1400,8,3.51469660,0.02405673,91.41563416,1.02270818
true,1400,9,2.54263639,0.10874225,75.72817993,1.88000143
true,1400,10,2.00653100,0.08436529,68.81533813,2.62533045
true,1400,11,1.67842150,0.00880013,63.68631744,0.23934293
true,1400,12,1.46798849,0.03355741,60.75580978,0.95660949
true,1400,13,1.49585605,0.02500054,62.47898102,1.26399136
true,1400,14,1.52175295,0.01742969,64.08685303,0.79209232
true,1400,15,1.58452892,0.00929333,66.71129608,0.25421572
true,1400,16,1.72162414,0.01872428,71.96532440,0.85658121
true,1500,1,13.47610760,0.06183706,214.47990417,4.08119202
true,1500,2,7.25680828,0.01481489,139.75526428,1.52629519
true,1500,3,5.43653393,1.04275322,117.38984680,12.90676308
true,1500,4,3.39218616,0.01998335,90.83502960,1.13688600
true,1500,5,3.72131348,0.09242714,97.46415710,1.87477899
true,1500,6,3.78789234,0.08211732,100.07733154,1.50487459
true,1500,7,4.12266397,0.05520625,107.41961670,1.07024002
true,1500,8,4.57300043,0.06398688,119.33403015,5.50872564
true,1500,9,3.34969425,0.14883406,98.48981476,2.21870613
true,1500,10,2.54996204,0.12591089,86.67971802,1.67456043
true,1500,11,2.16673255,0.01857990,82.37384796,1.36630774
true,1500,12,1.88136458,0.04934798,77.98994446,0.74096411
true,1500,13,1.94355226,0.03903219,80.49001312,0.79433513
true,1500,14,1.97723377,0.02997809,83.07659912,1.66541576
true,1500,15,2.09341788,0.03481289,87.46125793,2.28669953
true,1500,16,2.35337210,0.01545781,95.93858337,0.50491256
false,500,1,0.43422681,0.00036843,7.21573734,0.25261465
false,500,2,0.21778579,0.00014282,4.37476730,0.07187198
false,500,3,0.15547730,0.01908874,3.50342870,0.23783232
false,500,4,0.10978097,0.00054585,2.96826148,0.02123780
false,500,5,0.09791300,0.01032912,2.78843999,0.13891847
false,500,6,0.07919271,0.01138567,2.57856202,0.15003456
false,500,7,0.06404663,0.00077673,2.45317650,0.12740289
false,500,8,0.05710286,0.00288399,2.29172182,0.04261631
false,500,9,0.05605312,0.00335981,2.30056596,0.08384730
false,500,10,0.05478592,0.00429977,2.25653768,0.06271565
false,500,11,0.05329678,0.00162521,2.27192473,0.11953064
false,500,12,0.05324258,0.00221874,2.33318639,0.14311749
false,500,13,0.05036807,0.00067931,2.17576742,0.02096376
false,500,14,0.04919043,0.00024526,2.14290524,0.01464182
false,500,15,0.04837145,0.00039387,2.14103031,0.02194053
false,500,16,0.04757749,0.00028487,2.11684775,0.01859241
false,600,1,0.75763720,0.00044525,12.58514023,0.11445424
false,600,2,0.37964067,0.00027779,7.61690187,0.09992772
false,600,3,0.27733809,0.04224021,6.34001207,0.51049721
false,600,4,0.19102101,0.00067328,5.19834709,0.04859122
false,600,5,0.16632336,0.01751095,4.90532494,0.22190872
false,600,6,0.13626328,0.02018703,4.55479383,0.26013753
false,600,7,0.11099947,0.00212714,4.28083229,0.09212268
false,600,8,0.09827074,0.00425461,4.10697460,0.04572111
false,600,9,0.09581728,0.00093932,4.05226183,0.02211126
false,600,10,0.09375037,0.00141896,4.00028276,0.02818084
false,600,11,0.09139434,0.00168145,3.92050028,0.03035281
false,600,12,0.09108052,0.00303210,3.98216391,0.16054806
false,600,13,0.08747254,0.00050430,3.83072257,0.04669246
false,600,14,0.08575936,0.00031439,3.78823519,0.02260576
false,600,15,0.08436051,0.00074138,3.74291778,0.03148027
false,600,16,0.08231875,0.00034932,3.69312906,0.02915538
false,700,1,1.20321155,0.00279513,19.70327187,0.35166049
false,700,2,0.60280263,0.00165920,12.00488567,0.17543273
false,700,3,0.41760263,0.03077320,9.68372250,0.38040063
false,700,4,0.30362764,0.00120191,8.20573616,0.05775606
false,700,5,0.26068673,0.02565410,7.86790943,0.43884492
false,700,6,0.22116047,0.03576707,7.44658184,0.56943148
false,700,7,0.17424400,0.00103239,6.71081591,0.03342628
false,700,8,0.15473051,0.00378303,6.53807926,0.06937379
false,700,9,0.15080127,0.00080019,6.40228939,0.03202702
false,700,10,0.14762831,0.00168014,6.33768177,0.03368618
false,700,11,0.14456263,0.00243043,6.21832943,0.04066445
false,700,12,0.14214437,0.00328590,6.18900394,0.08779869
false,700,13,0.13889956,0.00238582,6.06235027,0.04034085
false,700,14,0.13559601,0.00052967,5.99865866,0.03722014
false,700,15,0.13293739,0.00058563,5.92249632,0.03409896
false,700,16,0.13050844,0.00088631,5.82399559,0.07718515
false,800,1,1.79522991,0.00139748,29.21417236,0.70220184
false,800,2,0.89877290,0.00020222,17.83130074,0.07316179
false,800,3,0.63958299,0.08722969,14.45059299,1.05300486
false,800,4,0.45167381,0.00217849,12.18860626,0.08305681
false,800,5,0.38254625,0.03640065,11.52236843,0.60612398
false,800,6,0.31047016,0.02911800,10.75483894,0.57603312
false,800,7,0.26128918,0.00330276,10.03579617,0.08983962
false,800,8,0.23103836,0.00827322,9.77178001,0.21629092
false,800,9,0.22675537,0.01282304,9.57934189,0.16782494
false,800,10,0.22184113,0.00324371,9.52339077,0.12627690
false,800,11,0.22153622,0.00873862,9.70240688,0.57186824
false,800,12,0.21363994,0.00455313,9.35355568,0.20512711
false,800,13,0.20693579,0.00298429,9.08632851,0.04440700
false,800,14,0.20372494,0.00336369,9.02890587,0.06487183
false,800,15,0.20079361,0.00134714,8.97670078,0.11152750
false,800,16,0.19621517,0.00063314,8.84553337,0.04915397
false,900,1,2.56348753,0.00636213,41.40211105,1.06208694
false,900,2,1.28065801,0.00346303,25.61403275,0.98246068
false,900,3,0.88412428,0.08349728,20.22632790,1.03190863
false,900,4,0.64252067,0.00197638,17.33452988,0.09278726
false,900,5,0.54370445,0.05110554,16.32952118,0.70645535
false,900,6,0.45419613,0.06363668,15.24657345,0.96673709
false,900,7,0.37504569,0.03803829,14.33272743,0.48561141
false,900,8,0.32595050,0.00388635,13.86337852,0.12901634
false,900,9,0.32061264,0.00405315,13.63617516,0.06963119
false,900,10,0.31533298,0.00256956,13.61671829,0.06614666
false,900,11,0.31016529,0.00368625,13.40236187,0.10609916
false,900,12,0.30478826,0.00269993,13.35642624,0.10208102
false,900,13,0.29956651,0.00337427,13.17445564,0.09582107
false,900,14,0.29513928,0.00402891,13.08882904,0.11547704
false,900,15,0.29082689,0.00466782,12.99759197,0.10853799
false,900,16,0.29001904,0.00637001,13.26460361,0.53471357
false,1000,1,3.51745963,0.00682259,56.91842651,1.23148799
false,1000,2,1.75952101,0.00336019,34.85385895,0.16998553
false,1000,3,1.22402668,0.11944403,28.29745865,1.97300243
false,1000,4,0.88188899,0.00135950,23.80330276,0.15726683
false,1000,5,0.75580847,0.07393882,22.79272270,1.64113963
false,1000,6,0.60053992,0.04267783,20.68500519,0.59541386
false,1000,7,0.50925004,0.00773175,19.68105888,0.42890871
false,1000,8,0.44895568,0.00962011,19.07281685,0.18365599
false,1000,9,0.44183373,0.00183357,18.83551979,0.08859439
false,1000,10,0.43874785,0.00534570,18.92804146,0.22030087
false,1000,11,0.43494385,0.00475199,18.83056641,0.14625587
false,1000,12,0.42764229,0.00345958,18.81768036,0.08886775
false,1000,13,0.42927811,0.01362143,18.96049881,0.86454052
false,1000,14,0.41806957,0.00100288,18.67891884,0.09221879
false,1000,15,0.41474190,0.00139684,18.60619926,0.08854445
false,1000,16,0.41009921,0.00240282,18.45835876,0.18869177
false,1100,1,4.73807240,0.02003869,77.05610657,2.29703617
false,1100,2,2.38787460,0.00410029,47.28880310,0.24718067
false,1100,3,1.79505157,0.33075199,39.57539368,4.05216742
false,1100,4,1.18814754,0.00671386,32.01551056,0.19389044
false,1100,5,1.02007806,0.09458880,30.60685349,1.72472692
false,1100,6,0.86291075,0.13419814,28.68673325,1.69732523
false,1100,7,0.70032060,0.02311056,27.23811340,1.48312521
false,1100,8,0.59913439,0.00965838,25.48802757,0.17924497
false,1100,9,0.60276407,0.01226213,25.94518471,0.56508869
false,1100,10,0.60041368,0.00259909,26.02782059,0.13300152
false,1100,11,0.59729147,0.00209262,25.96919250,0.13498004
false,1100,12,0.60037702,0.00330115,26.44219017,0.16952409
false,1100,13,0.60104132,0.00320836,26.53715134,0.12717529
false,1100,14,0.60442197,0.01959127,26.81696701,1.06423771
false,1100,15,0.60509926,0.00565842,26.85236359,0.24817811
false,1100,16,0.59620231,0.00192513,26.76594162,0.10961826
false,1200,1,6.25160408,0.03224280,100.95355225,3.00476861
false,1200,2,3.13419342,0.01770790,62.09616089,0.93109190
false,1200,3,2.35222220,0.39557850,51.91338730,4.85394907
false,1200,4,1.60751963,0.10418900,44.32546997,4.83854580
false,1200,5,1.38658512,0.12619178,40.66684723,1.69739890
false,1200,6,1.20526278,0.21185526,38.49743271,2.60237813
false,1200,7,0.94317132,0.09885438,35.90001678,1.95631659
false,1200,8,0.79248667,0.00519900,33.70463562,0.14597815
false,1200,9,0.80178285,0.00778226,34.08391190,0.19805406
false,1200,10,0.79430711,0.00788403,34.20174408,0.17442088
false,1200,11,0.80537325,0.00840782,34.95270538,0.51914996
false,1200,12,0.80362600,0.00822446,34.82024765,0.23874541
false,1200,13,0.80019629,0.00516755,35.01994705,0.15762344
false,1200,14,0.81046867,0.01543253,35.72136307,1.07185829
false,1200,15,0.80795944,0.00556040,35.72982788,0.23763293
false,1200,16,0.84023565,0.00687319,36.87150574,0.21533266
false,1300,1,8.03314590,0.07373402,129.17823792,4.08888674
false,1300,2,4.39814854,0.02082183,84.67680359,1.69805288
false,1300,3,3.21036720,0.58971494,69.41120148,7.00595617
false,1300,4,2.12300205,0.01879345,56.82943344,1.34705937
false,1300,5,1.80424237,0.17196096,52.92307281,2.11278725
false,1300,6,1.64497960,0.30332336,51.42182159,3.66946602
false,1300,7,1.22168279,0.11960986,46.44638062,1.93481290
false,1300,8,1.03806806,0.00482150,44.09477615,0.24443920
false,1300,9,1.05822563,0.03203314,45.02904129,1.70529914
false,1300,10,1.07468235,0.02299905,45.89829636,0.80569422
false,1300,11,1.07372737,0.01775733,45.94168091,0.35248119
false,1300,12,1.08515155,0.02264751,46.85105133,1.24142897
false,1300,13,1.08651829,0.01897904,47.23081207,0.78218305
false,1300,14,1.10690010,0.00669474,48.11601639,0.23069119
false,1300,15,1.12451160,0.01425288,48.77741241,0.67465824
false,1300,16,1.24910080,0.00987281,52.72779846,0.43833521
false,1400,1,10.44820404,0.08624596,166.96311951,4.77379084
false,1400,2,5.79094982,0.02121082,111.05303955,1.78605008
false,1400,3,4.34851694,0.77199936,93.12848663,9.31942940
false,1400,4,2.73007846,0.01719215,72.54951477,1.05362713
false,1400,5,2.32524419,0.23320717,67.40679169,3.07792902
false,1400,6,1.93300748,0.31772438,63.20664597,4.39203310
false,1400,7,1.57075739,0.21875162,58.87735367,2.76566577
false,1400,8,1.29708385,0.01703313,55.04059219,0.54258341
false,1400,9,1.36300457,0.05062093,57.32395172,1.50363946
false,1400,10,1.37463713,0.03110283,58.02225494,0.47836012
false,1400,11,1.42600417,0.03049019,59.80630493,0.46874985
false,1400,12,1.46571016,0.02429757,61.31535721,0.71063048
false,1400,13,1.49300551,0.03863427,63.03843307,1.69002748
false,1400,14,1.50958216,0.01831108,64.02133942,0.95309401
false,1400,15,1.57195103,0.02036630,66.21772766,0.81168330
false,1400,16,1.77285588,0.00784238,72.55135345,0.31472763
false,1500,1,13.43199062,0.22303690,214.12313843,9.71903801
false,1500,2,7.20290899,0.01156081,138.23158264,1.62304235
false,1500,3,5.26192141,0.98203957,114.32244873,11.91401958
false,1500,4,3.39381075,0.02108159,90.73161316,0.85616165
false,1500,5,2.98109007,0.30427256,86.14926147,3.76676822
false,1500,6,2.42722416,0.42350253,78.37413025,5.30981159
false,1500,7,1.95416296,0.34775716,72.89913940,4.70765162
false,1500,8,1.63924026,0.06124687,70.46631622,2.91247940
false,1500,9,1.69479573,0.06165522,71.84828186,1.42284036
false,1500,10,1.76484144,0.05776806,73.85221863,1.05721712
false,1500,11,1.82723653,0.05051389,76.55383301,1.63884532
false,1500,12,1.87480760,0.02975274,78.63574219,0.54234982
false,1500,13,1.92881334,0.02273327,80.85903931,0.75740391
false,1500,14,1.94803286,0.02597538,82.51565552,1.49642658
false,1500,15,2.11066794,0.02160189,88.16972351,2.32091570
false,1500,16,2.33900356,0.01443600,94.92111206,0.40886185
